exp_id,name,model_name,status,val_loss,val_acc,val_ppl,train_time_s,params_millions,attention_entropy,attention_concentration,epochs
EXP-0001,heads-sweep,H1xL1xd16,completed,1.7371762894851919,0.46065259117082535,5.681278466210439,5.96,0.009133,0.7645847002665201,0.6830346783002218,6
EXP-0002,heads-sweep,H1xL2xd16,completed,2.1504183717057708,0.32629558541266795,8.588450810458959,12.78,0.011357,0.7881188821047544,0.6591528989374638,6
EXP-0003,heads-sweep,H2xL1xd16,completed,1.7137290356026502,0.4798464491362764,5.54961766170611,13.17,0.009133,0.9288950736323992,0.6132124563058218,6
EXP-0004,heads-sweep,H2xL2xd16,completed,2.006843214986878,0.3493282149712092,7.4397944069362465,15.78,0.011357,1.1099260598421097,0.5238721966743469,6
EXP-0005,heads-sweep,H4xL1xd16,completed,1.7342987653161193,0.4990403071017274,5.664953948473968,20.53,0.009133,0.7911735934515794,0.6721212739745775,6
EXP-0006,heads-sweep,H4xL2xd16,completed,1.9422467079821566,0.3934740882917466,6.974402827981439,21.47,0.011357,0.960474279243499,0.6076567387208343,6
